description,date_announced,country,type,compliance,
"On March 14, 2020, the ministry of health and culture announced that ""from Tuesday 17 March 2020, the Cineteca Nacional will only allow 50% of its capacity in the screens and, for the time being, the open-air forum and the rest of the artistic programme will be suspended."" in Mexico.",3/14/20,Mexico,Restrictions of Mass Gatherings,Mandatory,
"In Mexico on March 14, 2020, the Ministry of Culture and Health announced that ""Art and culture events and activities in theatres, concert halls, cultural centres and archaeological sites (including the visit that is usually done on the spring equinox), scheduled between March 20 and April 20, will be rescheduled.""",3/14/20,Mexico,Restrictions of Mass Gatherings,Mandatory,
"On March 14, 2020, the Mexican ministry of culture and health announced that ""indoor and outdoor areas such as museums, galleries, archaeological sites, libraries and shops will remain open and the criterion of social distance (sana distancia) will be applied to limit the capacity.""",3/14/20,Mexico,Social Distancing,Mandatory,
"On March 14, 2020, the Mexican President said in his speech that "" from today on it is highly recommended that we avoid any greeting with a hand, a kiss or a hug (...).",3/14/20,Mexico,Social Distancing,Voluntary,
"The Mexican ministry of health published on March 24, 2020 within their campaign ""Susana Distancia"" recommendations on social distancing in 
queues, at work, in restaurants, elevators and supermarkets.",3/24/20,Mexico,Social Distancing,Voluntary,
"On March 30, 2020, the General Health Council declared a national health emergency which includes that in ""sectors identified as essential, meetings of no more than 50 persons should be held and basic measures of hygiene, prevention and healthy distance should always be applied"" in Mexico.",3/30/20,Mexico,Social Distancing,Mandatory,
"On March 30, the Mexican government issued a postponement of the population consensus and all other surveys.",3/30/20,Mexico,Social Distancing,Mandatory,
"On April 13, the Mexican congress passed a prisoner amnesty law. ""It will allow for the release of low-level offenders, including those convicted of robbery and small-scale drug possession, as well women jailed on abortion charges. It will also apply to indigenous convicts who did not receive an adequate defense due to language barriers and those who were coerced to work with criminal gangs.""",4/13/20,Mexico,Social Distancing,Mandatory,
"On March 12, the Netherlands pass new measures to fight the spread of the virus, requesting universities and institutions of higher professional education (HBO) to offer online lectures instead of large-scale lectures until March 31. Primary schools, secondary schools, secondary vocational schools (MBO) and childcare centres will remain open as usual.",3/12/20,Netherlands,Closure and Regulation of Schools,Voluntary,
"As of April 21, secondary schools will remain closed until June 2.",4/21/20,Netherlands,Closure and Regulation of Schools,Mandatory,
"In the Netherlands on April 21, parents are asked, when primary schools and childcare centres re-open on May 11, to take their children to school or childcare on foot or by bike wherever possible. This will prevent public transport becoming crowded.",4/21/20,Netherlands,Closure and Regulation of Schools,Voluntary,
"From 1 July, schools and childcare centres in the Netherlands will no longer offer emergency childcare for parents working in the healthcare sector. This includes hospital staff, nursing staff, carers and home carers, ambulance staff and support staff, such as cleaners at hospitals and care homes, as well as doctors and other medical staff in the armed forces. The infrastructure will remain in place so that this service can be started up again quickly if necessary.",7/1/20,Netherlands,Closure and Regulation of Schools,Mandatory,
"In the Netherlands, as of August 6, educational institutions should hold orientation activities online wherever possible. In-person activities can only take place in small groups and must be informative in nature.
Study associations and student sports clubs can only hold in-person activities if these are necessary to introduce students to their chosen programme of study or sport. Such activities can only take place in small groups and must end by 22.00 at the latest. No alcohol may be consumed.
The governing body of the educational institution in question and the head of the relevant safety region must give permission for such activities to take place. Student societies are not permitted to hold in-person recruitment or orientation activities.",8/6/20,Netherlands,Closure and Regulation of Schools,Mandatory,
"As of March 17, the Netherlands are advising all Dutch people not to travel abroad in the coming period unless absolutely essential, thus marking travel advice for all countries at  ""orange "": travel only if absolutely essential.",3/17/20,Netherlands,External Border Restrictions,Voluntary,
"As of March 19, the Netherlands impose a 30-day travel restriction of all non-essential travel by persons from third countries to Europe (i.e. all EU member states, all Schengen countries and the United Kingdom) until April 18.",3/18/20,Netherlands,External Border Restrictions,Mandatory,
"""The Dutch government strictly enforces the EU travel restrictions banning non-essential travel from outside the EU with limited exceptions. The ban went into effect on March 19, 2020, and has been extended until further notice. Currently,"" as of July 1 ""the EU non-essential travel ban does not apply to the following countries: Australia, Canada, Georgia, Japan, New Zealand, Rwanda, South Korea, Thailand, Tunisia, and Uruguay.""",3/19/20,Netherlands,External Border Restrictions,Mandatory,
"The Netherlands Prime Minister Mark Rutte said he personally would have no problem flying in a full aircraft. He said the rate of air exchange has been researched extensively at that the risk of spreading a Covid-19 infection is very small.

Face masks are set to become a requirement for all travellers at Dutch airports, the government said. In line with advice from the RIVM, the changes will mandate that all passengers wear at least a non-medical face masks while on board flights, as well as while at check-in, security, and waiting at departure gates at Dutch airports.

The government said it was likely impossible to keep a physical distance of 1.5 meters between people on airplanes in part because of the highly regulated and stringent safety rules governing aircraft. However those rules will still apply at the airports.",6/12/20,Netherlands,External Border Restrictions,Mandatory,
